uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
2307,2001-07-16,1982-05-15,49.0,19.0,Necesario,,1952-01-18,PROFESIONAL,1982,1952,2001,1,18,1,戊戌,壬,子,癸,亥,辛,丑,辛,卯,壬戌,False,False,False,劫財,正官,False,False,False,False,False,比和,False,False,False,False,False,0,正官,正官,False,False,偏印,食神,偏印,七殺,0,1,no,no,no,no,no,no,no,30,21-30,False,False,False,False,True,False,False,False,True
2308,2002-07-16,1991-03-07,42.0,11.0,Voluntario,,1960-02-29,PROFESIONAL,1991,1960,2002,2,29,1,辛巳,庚,子,丁,亥,戊,寅,庚,子,辛未,False,False,False,偏財,食神,True,False,False,False,False,日支剋日干,True,False,False,False,False,0,偏財,比肩,True,False,正財,七殺,傷官,正印,1,1,yes,no,yes,no,no,no,yes,31,21-30,True,False,True,False,False,False,True,False,False
2309,2002-07-16,1979-12-15,46.0,22.0,Voluntario,,1956-06-26,PROFESIONAL,1979,1956,2002,6,26,1,丙申,甲,子,甲,子,甲,午,丙,申,己未,False,False,False,正財,正財,True,True,True,False,True,日支生日干,False,False,False,False,False,0,食神,七殺,False,False,食神,七殺,比肩,食神,0,1,no,no,no,no,no,no,no,23,21-30,False,False,False,False,False,False,True,True,False
2310,2002-07-16,1997-01-13,27.0,5.0,Voluntario,1.0,1975-05-29,PREPARATORIA,1997,1975,2002,5,29,1,己卯,丙,子,乙,亥,辛,巳,乙,卯,丁丑,False,False,False,食神,偏財,False,True,False,False,False,日支生日干,False,True,False,False,False,0,偏財,比肩,True,False,比肩,比肩,七殺,食神,0,1,no,no,no,no,no,no,no,22,21-30,True,False,False,False,False,False,False,True,False
2311,2002-07-16,1995-02-10,35.0,7.0,Voluntario,1.0,1966-11-30,PROFESIONAL,1995,1966,2002,11,30,1,壬寅,壬,子,癸,巳,己,亥,丙,午,乙亥,False,True,False,食神,劫財,False,False,False,False,False,日干剋日支,False,False,False,False,False,1,劫財,傷官,False,False,正財,正財,七殺,劫財,2,1,no,no,no,no,no,no,no,29,21-30,False,False,False,False,False,False,False,False,False
2312,2003-07-16,1998-07-28,26.0,4.0,Voluntario,1.0,1977-02-07,SECUNDARIA,1998,1977,2003,2,7,1,己亥,丙,子,乙,未,壬,寅,丁,巳,戊寅,False,False,False,正財,劫財,True,False,False,False,False,日干剋日支,False,False,False,False,False,1,偏財,正印,True,False,食神,食神,正印,劫財,0,0,no,no,no,no,no,no,no,21,0-20,True,False,False,False,False,False,True,False,False
2313,2004-07-16,1998-06-18,35.0,6.0,Voluntario,1.0,1969-04-08,PREPARATORIA,1998,1969,2004,4,8,1,乙丑,壬,子,癸,丑,戊,辰,己,酉,戊寅,False,False,False,正官,傷官,False,False,True,False,False,日支剋日干,False,False,False,False,False,0,食神,七殺,False,False,七殺,偏印,正官,正官,0,3,no,no,no,no,no,no,no,29,21-30,False,False,False,False,False,False,False,False,False
2314,2004-07-16,1990-06-01,35.0,9.0,Necesario,1.0,1968-11-04,PRIMARIA,1990,1968,2004,11,4,1,乙丑,壬,子,戊,寅,壬,戌,戊,申,庚午,False,False,False,食神,偏印,False,False,False,False,False,日支剋日干,True,False,True,False,False,1,正官,劫財,False,False,比肩,食神,偏財,比肩,1,0,no,no,no,no,no,no,no,22,21-30,False,False,False,False,False,False,False,False,False
2315,2004-07-16,1994-07-29,40.0,9.0,Voluntario,,1964-07-10,PROFESIONAL,1994,1964,2004,7,10,1,甲戌,丙,子,庚,申,辛,未,甲,辰,甲戌,False,False,False,偏財,偏印,True,False,False,False,False,比和,False,True,False,False,True,0,偏財,偏印,True,False,偏財,偏印,劫財,正印,1,0,no,no,no,no,no,no,no,30,21-30,True,False,False,False,False,False,True,False,True
2316,2007-07-16,2001-03-23,34.0,6.0,Necesario,1.0,1973-01-23,PROFESIONAL,2001,1973,2007,1,23,1,丙辰,甲,子,己,未,癸,丑,壬,子,辛巳,False,False,False,食神,偏印,False,False,False,False,False,比和,False,True,False,False,False,1,正印,劫財,False,False,正財,偏財,偏財,比肩,3,0,no,no,no,no,no,no,no,28,21-30,False,False,False,False,False,False,False,False,False
