uniqueid,Age_partner_man,DOB_partner_man,bazi_man,Marriage_duration,man日干,year_of_marriage,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,countScore
2097,54.0,1955-10-02,"['乙', '未', '乙', '酉', '丙', '申', '戊', '子']",31.0,丙,1978,戊午,False,False,False,食神,比肩,False,False,False,False,False,日干剋日支,False,False,False,0
2110,48.0,1964-12-03,"['甲', '辰', '乙', '亥', '丙', '戌', '戊', '子']",13.0,丙,1997,丁丑,False,False,False,劫財,傷官,False,False,False,False,False,日干生日支,False,False,False,0
2114,45.0,1962-09-15,"['壬', '寅', '己', '酉', '丙', '辰', '戊', '子']",24.0,丙,1983,癸亥,False,False,False,正官,七殺,False,False,False,False,False,日干生日支,False,False,False,0
2123,42.0,1964-03-28,"['甲', '辰', '丁', '卯', '丙', '子', '戊', '子']",9.0,丙,1987,丁卯,False,False,False,劫財,正印,False,False,False,False,False,日支剋日干,False,False,False,0
2126,32.0,1979-02-09,"['己', '未', '丙', '寅', '丁', '未', '庚', '子']",4.0,丁,2006,丙戌,False,False,False,劫財,傷官,False,False,False,False,False,日干生日支,False,False,False,0
2132,38.0,1974-09-13,"['甲', '寅', '癸', '酉', '丁', '巳', '庚', '子']",5.0,丁,1996,丙子,False,False,False,劫財,七殺,False,False,False,False,False,比和,False,False,False,0
2133,37.0,1963-03-30,"['癸', '卯', '乙', '卯', '壬', '申', '庚', '子']",9.0,壬,1991,辛未,False,False,False,正印,正官,False,False,False,False,False,日支生日干,False,False,False,0
2138,24.0,1980-03-16,"['庚', '申', '己', '卯', '戊', '子', '壬', '子']",,戊,1998,戊寅,False,False,False,比肩,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
2150,42.0,1962-04-29,"['壬', '寅', '甲', '辰', '丁', '酉', '庚', '子']",8.0,丁,1996,丙子,False,False,False,劫財,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
2153,53.0,1955-08-02,"['乙', '未', '癸', '未', '乙', '未', '丙', '子']",3.0,乙,2005,乙酉,False,False,False,比肩,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
2174,39.0,1973-08-11,"['癸', '丑', '庚', '申', '己', '卯', '甲', '子']",13.0,己,1997,丁丑,False,False,False,偏印,比肩,False,False,False,False,False,日支剋日干,False,False,False,0
2178,32.0,1972-06-15,"['壬', '子', '丙', '午', '丁', '丑', '庚', '子']",5.0,丁,1999,己卯,False,False,False,食神,偏印,False,False,False,False,False,日干生日支,False,False,False,0
2182,31.0,1979-09-22,"['己', '未', '癸', '酉', '壬', '辰', '庚', '子']",7.0,壬,2003,癸未,False,False,False,劫財,正官,False,False,False,False,False,日支剋日干,False,False,False,0
2190,50.0,1960-08-07,"['庚', '子', '甲', '申', '丁', '卯', '庚', '子']",27.0,丁,1984,甲子,False,False,False,正印,七殺,False,False,False,False,False,日支生日干,False,False,False,0
2196,28.0,1978-06-05,"['戊', '午', '丁', '巳', '戊', '戌', '壬', '子']",7.0,戊,1997,丁丑,False,False,False,正印,劫財,False,False,False,False,False,比和,False,False,False,0
2203,30.0,1982-12-31,"['壬', '戌', '壬', '子', '戊', '子', '壬', '子']",3.0,戊,2010,庚寅,False,False,False,食神,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
2216,30.0,1973-12-26,"['癸', '丑', '甲', '子', '丙', '申', '戊', '子']",9.0,丙,1995,乙亥,False,False,False,正印,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
